White Win %,Black Win %,Moves,Number of moves
43.70%,31.30%,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.Nf3 g6 7.Bg5,7
35.90%,41.30%,1.f4,1
41.90%,33.60%,1.e4 e5 2.Nc3 Nf6 3.Bc4 Nxe4 4.Nf3,4
48.90%,31.40%,1.e4 e5 2.Bc4,2
56.30%,29.10%,1.e4 e5 2.Bc4 Nf6 3.d4,3
45.50%,32.70%,1.e4 e5 2.Bc4 Nf6 3.d4 exd4 4.Nf3,4
42.90%,37.40%,1.e4 e5 2.Bc4 Nf6 3.d4 exd4 4.Nf3 Nxe4 5.Qxd4,5
39.50%,32.20%,1.e4 e5 2.Bc4 Nf6 3.d3 Nc6 4.Nc3,4
37.90%,30.40%,1.e4 e5 2.Bc4 Nf6 3.d3 Nc6 4.Nc3 Bb4 5.Ne2,5
48.20%,29.70%,1.e4 e5 2.Bc4 Nf6 3.d3 Bc5 4.Nc3,4
45.50%,34.50%,1.d4 d5 2.e4,2
39.50%,50.90%,1.d4 d5 2.e4 dxe4 3.Nc3 Nf6 4.f3 exf3 5.Qxf3,5
35.00%,46.60%,1.d4 d5 2.e4 dxe4 3.Nc3 Nf6 4.Bg5,4
42.30%,30.20%,1.d4 Nf6 2.c4 e6 3.Nf3 c5 4.d5 b5 5.Bg5,5
43.30%,23.80%,1.d4 Nf6 2.c4 e6 3.Nf3 Bb4+ 4.Nbd2,4
42.70%,32.50%,1.d4 Nf6 2.c4 e5 3.dxe5 Ng4 4.Nf3,4
55.10%,27.20%,1.d4 Nf6 2.c4 e5 3.dxe5 Ng4 4.e4,4
42.00%,43.00%,1.d4 Nf6 2.c4 e5 3.dxe5 Ne4 4.Qc2,4
50.90%,22.50%,1.d4 Nf6 2.c4 e5 3.dxe5 Ng4 4.Bf4,4
47.90%,29.50%,1.e4 c6 2.c4,2
41.30%,33.00%,1.e4 c6 2.d4 d5 3.e5,3
42.70%,39.20%,1.e4 c6 2.d4 d5 3.e5 Bf5 4.g4,4
43.80%,36.10%,1.e4 c6 2.d4 d5 3.e5 Bf5 4.Ne2,4
41.30%,31.40%,1.e4 c6 2.d4 d5 3.e5 Bf5 4.Nf3,4
44.40%,32.60%,1.e4 c6 2.d4 d5 3.e5 Bf5 4.h4,4
40.50%,37.50%,1.e4 c6 2.d4 d5 3.e5 Bf5 4.Nc3,4
39.90%,37.60%,1.e4 c6 2.d4 d5 3.e5 Bf5 4.Nc3 e6 5.g4 Bg6 6.Nge2 c5 7.h4,7
40.10%,31.20%,1.e4 c6 2.d3,2
34.60%,31.80%,1.e4 c6 2.d3 d5 3.Nd2 g6 4.g3 Bg7 5.Bg2 e5 6.Ngf3 Ne7 7.O-O O-O 8.b4,8
37.40%,25.90%,1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Bf5 5.Ng3 Bg6 6.Nh3,6
36.30%,30.80%,1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Bf5 5.Ng3 Bg6 6.h4,6
45.50%,29.70%,1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Bf5 5.Ng3 Bg6 6.f4,6
36.70%,24.30%,1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Bf5 5.Ng3 Bg6 6.h4 h6 7.Nf3 Nd7 8.h5 Bh7 9.Bd3 Bxd3 10.Qxd3,10
39.40%,42.80%,1.e4 c6 2.b3,2
36.90%,32.00%,1.e4 c6 2.d4 d5 3.exd5 cxd5 4.Bd3 Nc6 5.c3 Nf6 6.Bf4,6
33.80%,39.90%,1.e4 c6 2.d4 d5 3.exd5,3
32.70%,26.50%,1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Nf6 5.Nxf6+ exf6 6.Bc4,6
39.50%,35.80%,1.e4 c6 2.Nc3 d5 3.Qf3,3
26.20%,62.00%,1.e4 c6 2.Bc4,2
39.90%,20.00%,1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Nd7 5.Ng5 Ngf6 6.Bd3 e6 7.N1f3 Bd6 8.Qe2 h6 9.Ne4 Nxe4 10.Qxe4,10
47.30%,27.10%,1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Nd7 5.Ng5,5
38.00%,29.90%,1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Nd7 5.Nf3 Ngf6 6.Ng3,6
40.40%,24.70%,1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Nd7 5.Bc4 Ngf6 6.Ng5 e6 7.Qe2 Nb6 8.Bb3,8
37.40%,38.60%,1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4,4
42.70%,34.50%,1.e4 c6 2.d4 d5 3.f3,3
66.70%,18.30%,1.e4 c6 2.d4 d5 3.f3 dxe4 4.fxe4 e5 5.Nf3 exd4 6.Bc4,6
41.90%,29.20%,1.e4 c6 2.d4 d5 3.Nd2,3
52.20%,24.90%,1.e4 c6 2.d4 d5 3.exd5 cxd5 4.c4 Nf6 5.Nc3,5
49.30%,27.60%,1.e4 c6 2.d4 d5 3.exd5 cxd5 4.c4,4
38.30%,39.80%,1.e4 c6 2.d4 d5 3.exd5 cxd5 4.c4 Nf6 5.c5,5
36.00%,44.10%,1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.f3,4
46.60%,35.80%,1.e4 c6 2.d4 d5 3.Nc3,3
42.20%,32.20%,1.e4 c6 2.Nc3 d5 3.Nf3,3
