White Win %,Black Win %,Moves,Number of moves
42.80%,28.90%,1.e4 e6 2.d4 d5 3.Nc3 Bb4 4.e5 c5 5.a3 Bxc3+ 6.bxc3 Ne7 7.Qg4,7
45.20%,31.60%,1.e4 e6 2.d4 d5 3.Nc3 Bb4 4.e5 c5 5.a3 Bxc3+ 6.bxc3 Ne7 7.Qg4 Qc7 8.Qxg7 Rg8 9.Qxh7 cxd4 10.Ne2,10
34.50%,40.40%,1.e4 e6 2.d4 d5 3.Nc3 Bb4 4.e5 c5 5.a3 Bxc3+ 6.bxc3 Ne7 7.Qg4 Qc7 8.Qxg7 Rg8 9.Qxh7 cxd4 10.Kd1,10
39.60%,32.30%,1.e4 e6 2.d4 d5 3.Nc3 Bb4 4.e5 c5 5.a3 Bxc3+ 6.bxc3 Ne7 7.Nf3,7
42.00%,36.50%,1.e4 e6 2.d4 d5 3.Nc3 Bb4 4.a3,4
44.10%,39.20%,1.e4 e6 2.Nf3 d5 3.e5 c5 4.b4,4
42.00%,45.70%,1.g4,1
45.90%,37.60%,1.g4 d5 2.Bg2,2
52.60%,38.40%,1.g4 d5 2.Bg2 Bxg4 3.c4,3
35.20%,26.90%,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Bf4,4
32.20%,24.40%,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Bf4 Bg7 5.e3 O-O 6.cxd5 Nxd5 7.Nxd5 Qxd5 8.Bxc7,8
37.60%,28.30%,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Bf4 Bg7 5.e3 O-O 6.Rc1,6
32.80%,33.00%,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.cxd5 Nxd5 5.e4 Nxc3 6.bxc3 Bg7 7.Bc4,7
35.90%,28.00%,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.cxd5 Nxd5 5.e4 Nxc3 6.bxc3 Bg7 7.Nf3,7
43.00%,25.60%,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.cxd5 Nxd5 5.e4 Nxc3 6.bxc3 Bg7 7.Nf3 c5 8.h3,8
39.00%,30.90%,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.cxd5 Nxd5 5.Na4,5
31.70%,28.10%,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.cxd5 Nxd5 5.e4 Nxc3 6.bxc3 Bg7 7.Bc4 O-O 8.Ne2 c5 9.O-O Nc6 10.Be3 Bg4 11.f3 Na5 12.Bxf7+,12
38.00%,31.10%,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.cxd5 Nxd5 5.e4 Nxc3 6.bxc3 Bg7 7.Bc4 O-O 8.Ne2 c5 9.O-O Nc6 10.Be3 cxd4 11.cxd4 Bg4 12.f3 Na5 13.Bd3 Be6 14.d5,14
41.20%,26.40%,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.cxd5 Nxd5 5.e4 Nxc3 6.bxc3 Bg7 7.Bc4 O-O 8.Ne2 c5 9.O-O Nc6 10.Be3 cxd4 11.cxd4,11
41.00%,24.90%,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.Qa4+,5
43.50%,37.70%,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.f3,4
36.60%,25.10%,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.e3 O-O 6.b4,6
29.40%,29.20%,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.e3 O-O 6.Bd2,6
45.80%,27.10%,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.Qb3,5
41.40%,26.20%,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Qb3,4
43.00%,21.50%,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.Qb3 dxc4 6.Qxc4 O-O 7.e4 Bg4 8.Be3 Nfd7 9.Qb3,9
42.80%,28.70%,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.Qb3 dxc4 6.Qxc4 O-O 7.e4,7
31.00%,39.20%,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.e3,5
36.70%,28.70%,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.Bf4,5
33.30%,34.20%,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.Bf4 O-O 6.e3,6
21.60%,54.40%,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.e3 O-O 6.Bd3,6
33.80%,32.30%,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.Bg5,5
45.30%,21.40%,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.e3 O-O 6.Qb3,6
44.00%,31.10%,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.h4,4
40.40%,32.70%,1.g3,1
40.10%,34.80%,1.d4 Nf6 2.c4 g6 3.d5,3
40.30%,34.70%,1.d4 Nf6 2.c4 g6 3.f3,3
36.90%,31.10%,1.d4 Nf6 2.c4 e6 3.Nf3,3
33.60%,33.60%,1.d4 Nf6 2.Nf3,2
36.60%,36.20%,1.d4 Nf6 2.Nf3 e6 3.Bf4,3
33.90%,38.70%,1.d4 Nf6 2.Nf3 g6 3.Bf4,3
40.60%,37.00%,1.d4 Nf6 2.c4,2
35.40%,51.00%,1.d4 Nf6 2.f3,2
34.60%,32.70%,1.d4 Nf6 2.Nf3 g6 3.g3,3
32.00%,46.40%,1.d4 Nf6 2.c4 e6 3.Bg5,3
38.70%,32.50%,1.d4 Nf6 2.g3,2
33.70%,35.20%,1.d4 Nf6 2.Nf3 e6 3.e3,3
41.20%,37.00%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.c3 Nf6 5.b4,5
42.90%,37.60%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.c3 Nf6 5.O-O,5
58.60%,28.60%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.c3 Nf6 5.d4,5
56.70%,26.20%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.c3,4
39.90%,30.80%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.c3 Nf6 5.d3,5
36.80%,24.40%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.c3 Nf6 5.d3 a6 6.Bb3 Ba7 7.h3 O-O 8.O-O d6 9.Re1,9
36.60%,37.90%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.c3 Nf6 5.d4 exd4 6.O-O,6
31.50%,47.50%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.c3 Nf6 5.d4 exd4 6.cxd4 Bb4+ 7.Nc3 Nxe4 8.O-O Bxc3 9.d5,9
35.00%,35.90%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.c3 Nf6 5.d4 exd4 6.cxd4,6
45.10%,34.50%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.O-O Nf6 5.d4,5
44.40%,40.50%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.b4 Bxb4 5.c3 Ba5 6.O-O,6
36.00%,39.00%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.b4 Bxb4 5.c3 Ba5 6.d4 d6 7.Qb3,7
50.40%,28.50%,1.e4 e5 2.Nf3 Nc6 3.Bc4,3
42.40%,36.00%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.d3,4
33.00%,37.50%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.d3 Nf6 5.Nc3 d6 6.Bg5,6
34.60%,39.80%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.d3 Nf6 5.Nc3,5
34.50%,52.60%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.d4,4
62.30%,20.80%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Nf6 4.d4 exd4 5.O-O,5
28.00%,38.50%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Nf6 4.d4 exd4 5.O-O Nxe4 6.Re1 d5 7.Bxd5 Qxd5 8.Nc3,8
26.40%,24.50%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Nf6 4.d4 exd4 5.O-O Nxe4 6.Re1 d5 7.Bxd5 Qxd5 8.Nc3 Qa5 9.Nxe4 Be6 10.Bd2 Qd5 11.Bg5,11
39.50%,31.60%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Nf6 4.d4 exd4 5.O-O Nxe4 6.Re1 d5 7.Nc3,7
35.20%,45.60%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Nf6 4.d4 exd4 5.O-O Bc5 6.e5 d5 7.exf6 dxc4 8.Re1+ Be6 9.Ng5 Qd5 10.Nc3 Qf5 11.Nce4,11
41.80%,46.80%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Nf6 4.d4 exd4 5.O-O Nxe4 6.Nc3,6
42.90%,33.70%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Nf6 4.d4 exd4 5.O-O Bc5 6.c3,6
74.90%,19.20%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Nf6 4.Ng5 d5 5.exd5 Nxd5 6.Nxf7,6
84.10%,10.30%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Nf6 4.Ng5,4
69.30%,18.80%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Nf6 4.Ng5 d5 5.exd5 Nxd5 6.d4,6
40.10%,32.30%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Nf6 4.d3,4
37.30%,37.80%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Nf6 4.d4 exd4 5.Ng5,5
43.70%,36.30%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Nf6 4.Ng5 d5 5.exd5 Na5 6.Bb5+,6
41.90%,41.70%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Nf6 4.Ng5 d5 5.exd5 Na5 6.Bb5+ c6 7.dxc6 bxc6 8.Qf3,8
42.50%,38.60%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Nf6 4.Ng5 d5 5.exd5 Na5 6.d3,6
42.70%,36.30%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Nf6 4.Ng5 Bc5 5.Bxf7+,5
28.30%,52.80%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Nf6 4.Ng5 Bc5 5.Nxf7,5
49.00%,40.40%,1.h4,1
31.90%,39.10%,1.d4 e6 2.c4 Bb4+ 3.Nc3,3
42.40%,36.10%,1.e4 e5 2.Ne2,2
35.10%,50.00%,1.e4 e5 2.Nf3 Nc6 3.c4,3
32.80%,52.80%,1.e4 e5 2.d3,2
38.00%,44.60%,1.e4 e5 2.c3,2
36.80%,35.60%,1.e4 e5 2.Nf3 Nc6 3.Be2,3
34.60%,32.70%,1.e4 e5 2.Nf3 Nc6 3.Be2 Nf6 4.d3 d5 5.Nbd2,5
42.10%,40.50%,1.e4 e5 2.Qh5,2
42.60%,39.00%,1.e4 e5 2.f4 exf4 3.Bc4,3
43.20%,38.30%,1.e4 e5 2.f4 exf4 3.Bc4 Nf6 4.Nc3,4
35.10%,49.70%,1.e4 e5 2.f4 exf4 3.Nf3 g5 4.Bc4 Bg7 5.O-O,5
34.90%,37.70%,1.e4 e5 2.f4 exf4 3.Nf3 g5 4.h4 g4 5.Ne5 Nf6 6.d4,6
59.60%,27.80%,1.e4 e5 2.f4 exf4 3.Nf3,3
37.70%,39.00%,1.e4 e5 2.f4 exf4 3.Nc3,3
45.50%,35.70%,1.e4 e5 2.f4 Bc5 3.Nf3 d6 4.c3,4
64.40%,22.00%,1.e4 e5 2.f4 d5 3.exd5,3
35.80%,38.30%,1.e4 e5 2.f4 d5 3.Nf3,3
49.30%,23.10%,1.e4 e5 2.f4 d5 3.exd5 e4 4.d3,4
52.90%,26.40%,1.e4 e5 2.f4 d5 3.exd5 e4 4.d3 Nf6 5.dxe4,5
65.30%,23.70%,1.e4 e5 2.f4,2
41.70%,27.50%,1.Nf3 d5 2.g3,2
42.60%,30.30%,1.Nf3 d5 2.g3 c5 3.Bg2,3
48.30%,28.50%,1.Nf3 d5 2.g3 c5 3.Bg2 Nc6 4.O-O e6 5.d3 Nf6 6.Nbd2 Be7 7.e4 O-O 8.Re1,8
42.60%,26.80%,1.Nf3 Nf6 2.g3 g6 3.b4,3
45.20%,31.90%,1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.e4 d6 5.Bg5,5
53.50%,24.00%,1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.e4 d6 5.Be2 O-O 6.Bg5,6
43.80%,26.90%,1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.e4 d6 5.Be2 O-O 6.Bg5 c5 7.d5,7
35.20%,28.20%,1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.e4 d6 5.Be2 O-O 6.Bg5 c5 7.dxc5,7
26.30%,29.10%,1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.e4 d6 5.Nf3 O-O 6.Be2 e5 7.dxe5,7
45.60%,24.20%,1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.Nf3 d6 5.g3 O-O 6.Bg2 Nbd7 7.O-O e5 8.e4 c6 9.h3,9
47.60%,26.80%,1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.Nf3 d6 5.g3,5
37.80%,33.20%,1.d4 Nf6 2.c4 g6 3.Nf3 Bg7 4.g3 d6 5.Bg2 O-O 6.O-O Nbd7 7.Nc3 e5 8.b3,8
39.00%,25.90%,1.d4 Nf6 2.c4 g6 3.g3,3
38.40%,27.70%,1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.Nf3 d6 5.g3 O-O 6.Bg2 Nc6 7.O-O a6 8.h3 Rb8 9.Be3 b5 10.Nd2,10
52.60%,23.00%,1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.Nf3 d6 5.g3 O-O 6.Bg2 c5 7.O-O,7
43.50%,29.90%,1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.Nf3 d6 5.g3 O-O 6.Bg2 c5 7.O-O Nc6 8.d5,8
45.80%,30.00%,1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.e4 d6 5.f4,5
44.30%,33.30%,1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.e4 d6 5.f4 O-O 6.Nf3 c5 7.d5,7
38.80%,21.60%,1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.e4 d6 5.f4 O-O 6.Be2 c5 7.Nf3 cxd4 8.Nxd4 Nc6 9.Be3,9
34.20%,40.80%,1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.e4 d6 5.f4 O-O 6.Be2 c5 7.d5 e6 8.Nf3 exd5 9.e5,9
35.20%,31.20%,1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.e4 d6 5.f4 O-O 6.Be2 c5 7.Nf3,7
42.70%,39.90%,1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.e4 d6 5.f4 O-O 6.Be2,6
37.80%,36.10%,1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.e4 d6 5.f4 O-O 6.Be2 c5 7.d5 e6 8.Nf3,8
44.00%,32.30%,1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.e4 d6 5.Nge2,5
38.20%,32.60%,1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.e4 d6 5.Nf3 O-O 6.Be3,6
48.80%,27.90%,1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.e4 d6 5.h3,5
41.20%,36.00%,1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.e4,4
35.40%,40.80%,1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.e4 d6 5.g3,5
38.90%,30.40%,1.d4 Nf6 2.c4 g6 3.Nf3,3
47.70%,28.10%,1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.e4 d6 5.Nf3,5
49.80%,30.00%,1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.e4 d6 5.Be2,5
41.20%,25.90%,1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.e4 d6 5.Nf3 O-O 6.Be2 e5 7.O-O,7
46.60%,28.70%,1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.e4 d6 5.Nf3 O-O 6.Be2 e5 7.O-O Nc6 8.d5 Ne7 9.b4,9
44.90%,23.90%,1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.e4 d6 5.Nf3 O-O 6.Be2 e5 7.O-O Nc6 8.d5 Ne7 9.b4 Nh5 10.Re1,10
42.90%,26.40%,1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.e4 d6 5.Nf3 O-O 6.Be2 e5 7.O-O Nc6 8.d5 Ne7 9.Ne1 Nd7 10.f3 f5 11.g4,11
46.20%,30.70%,1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.e4 d6 5.Nf3 O-O 6.Be2 e5 7.O-O Nc6 8.d5 Ne7 9.Ne1 Nd7 10.Be3 f5 11.f3 f4 12.Bf2 g5 13.Rc1 Ng6 14.c5,14
44.20%,31.00%,1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.e4 d6 5.Nf3 O-O 6.Be2 e5 7.O-O Nc6 8.d5 Ne7 9.Ne1,9
45.50%,34.00%,1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.e4 d6 5.Nf3 O-O 6.Be2 e5 7.O-O Nc6 8.d5 Ne7 9.Ne1 Nd7 10.Be3,10
44.40%,27.90%,1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.e4 d6 5.Nf3 O-O 6.Be2,6
47.10%,23.00%,1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.e4 d6 5.Nf3 O-O 6.Be2 e5 7.Be3,7
38.00%,32.70%,1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.e4 d6 5.Nf3 O-O 6.Be2 e5 7.O-O Nc6 8.d5 Ne7 9.Bd2,9
44.70%,27.00%,1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.e4 d6 5.Nf3 O-O 6.Be2 e5 7.O-O Nc6 8.d5 Ne7 9.Nd2,9
33.40%,43.10%,1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.e4 d6 5.Nf3 O-O 6.Be2 e5 7.O-O Nbd7 8.d5,8
46.20%,30.10%,1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.e4 d6 5.Nf3 O-O 6.Be2 e5 7.d5,7
46.80%,26.80%,1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.e4 d6 5.Nf3 O-O 6.Be2 e5 7.d5 Nbd7 8.Bg5 h6 9.Bh4 g5 10.Bg3 Nh5 11.h4,11
47.80%,25.60%,1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.e4 d6 5.g3 O-O 6.Bg2 e5 7.Nge2,7
47.50%,27.00%,1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.e4 d6 5.f3,5
48.40%,26.30%,1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.e4 d6 5.f3 O-O 6.Nge2,6
46.40%,30.80%,1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.e4 d6 5.f3 O-O 6.Be3 e5 7.d5,7
48.70%,29.90%,1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.e4 d6 5.Be2 O-O 6.Be3,6
43.70%,30.60%,1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.Nf3 d6 5.Bg5,5
46.90%,27.90%,1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.e4 d6 5.f3 O-O 6.Bg5,6
35.70%,42.80%,1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.e4 d6 5.Nf3 O-O 6.Bg5,6
69.80%,21.60%,1.e4 e5 2.Nf3,2
39.90%,38.10%,1.e4 e5 2.Nf3 Nc6 3.g3,3
39.50%,39.10%,1.e4,1
47.40%,34.70%,1.e4 e5 2.Nf3 f5 3.exf5,3
58.30%,25.50%,1.e4 e5 2.Nf3 f5 3.Nxe5 Qf6 4.d4 d6 5.Nc4,5
62.00%,21.90%,1.e4 e5 2.Nf3 f5 3.Nxe5 Qf6 4.Nc4 fxe4 5.Nc3,5
50.00%,33.80%,1.e4 e5 2.Nf3 f5 3.d4,3
44.50%,36.30%,1.e4 d6 2.d4 Nf6 3.Nc3 Nbd7 4.f4,4
57.00%,22.10%,1.e4 d6 2.d4 Nf6 3.Nc3 Nbd7 4.g4,4
44.40%,27.60%,1.e4 d6 2.d4 Nf6 3.f3,3
34.30%,38.10%,1.d4 d5 2.Nf3 Nf6 3.Bf4 c5 4.e3 Qb6 5.Nc3,5
39.90%,39.00%,1.d3,1
39.30%,34.10%,1.d4 g6 2.c4 Bg7 3.Nc3 d6 4.e4,4
50.40%,27.80%,1.d4 g6 2.c4 Bg7 3.e4 d6 4.Be3 Nf6 5.f3,5
37.30%,42.80%,1.e4 g6 2.d4 Bg7 3.Bc4,3
36.70%,32.80%,1.e4 g6 2.d4 Bg7 3.Nf3 d6 4.c3,4
44.80%,34.10%,1.e4 g6 2.d4 Bg7 3.Nc3 d6 4.f4,4
38.30%,36.80%,1.e4 g6 2.d4 Bg7 3.Nc3,3
33.60%,43.80%,1.e4 g6 2.d4 Bg7 3.f4,3
37.20%,40.20%,1.e4 g6 2.d4 Bg7 3.Nc3 d6 4.Nf3,4
48.40%,24.30%,1.d4 Nf6 2.c4 g6 3.g3 d5 4.Bg2 Bg7 5.Nf3 O-O 6.O-O,6
49.00%,22.50%,1.d4 Nf6 2.c4 g6 3.g3 d5 4.Bg2 Bg7 5.Nf3 O-O 6.cxd5 Nxd5 7.O-O,7
38.70%,16.60%,1.d4 Nf6 2.c4 g6 3.g3 d5 4.Bg2 Bg7 5.Nf3 O-O 6.cxd5 Nxd5 7.O-O c5 8.dxc5,8
34.30%,25.80%,1.d4 Nf6 2.c4 g6 3.g3 d5 4.Bg2 Bg7 5.Nf3 O-O 6.cxd5 Nxd5 7.O-O c5 8.Nc3,8
47.60%,20.50%,1.d4 Nf6 2.c4 g6 3.g3 d5 4.Bg2 Bg7 5.cxd5 Nxd5 6.e4 Nb6 7.Ne2,7
31.80%,26.00%,1.d4 Nf6 2.c4 g6 3.g3 d5 4.Bg2 Bg7 5.Nf3,5
34.40%,31.80%,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.Qc2,4
34.90%,20.40%,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.Qc2 c5 5.dxc5 O-O 6.a3 Bxc5 7.Nf3 b6 8.Bf4,8
36.50%,20.10%,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.Qc2 d5 5.a3 Bxc3+ 6.Qxc3 Ne4 7.Qc2,7
33.70%,29.30%,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.Qc2 d5 5.a3,5
40.90%,28.60%,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.e3 b6 5.Ne2,5
39.60%,26.90%,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.e3 c5 5.Ne2,5
34.70%,30.10%,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.e3 c5 5.Ne2 cxd4 6.exd4 O-O 7.a3,7
40.10%,35.70%,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.f3,4
32.20%,42.40%,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.Bg5,4
46.30%,29.60%,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.e3,4
33.00%,28.30%,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.e3 O-O 5.Nf3 d5 6.Bd3 c5 7.O-O Nc6 8.a3 Bxc3 9.bxc3 dxc4 10.Bxc4,10
32.10%,29.80%,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.e3 O-O 5.Nf3 d5 6.Bd3 c5 7.O-O Nc6 8.a3 Bxc3 9.bxc3,9
37.90%,31.90%,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.e3 O-O 5.Bd3,5
40.30%,30.00%,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.e3 O-O 5.Bd3 d5 6.a3 Bxc3+ 7.bxc3,7
31.60%,25.80%,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.e3 O-O 5.Nf3 d5 6.Bd3 c5 7.O-O dxc4 8.Bxc4,8
34.30%,38.40%,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.e3 O-O 5.Nf3 d5 6.a3,6
40.50%,26.40%,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.e3 Nc6 5.Nf3 O-O 6.Bd3 d5 7.O-O,7
32.80%,36.20%,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.e3 O-O 5.Ne2,5
43.50%,22.20%,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.Nf3 c5 5.g3 O-O 6.Bg2,6
37.00%,29.10%,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.g3,4
42.90%,34.60%,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.a3 Bxc3+ 5.bxc3 O-O 6.e3,6
39.80%,33.50%,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.a3 Bxc3+ 5.bxc3 c5 6.f3 d5 7.cxd5,7
41.10%,36.70%,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.a3 Bxc3+ 5.bxc3 c5 6.e3,6
35.40%,43.40%,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.a3 Bxc3+ 5.bxc3,5
33.80%,24.50%,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.a3 Bxc3+ 5.bxc3 c5 6.f3 d5 7.cxd5 Nxd5 8.dxc5,8
38.10%,35.30%,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.Qb3,4
39.20%,28.90%,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.Nf3,4
40.50%,23.60%,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.Nf3 b6 5.Bg5 Bb7 6.Nd2,6
45.50%,35.40%,1.b3,1
41.10%,41.10%,1.b3 Nf6 2.Bb2 g6 3.g4,3
44.00%,39.10%,1.e4 Nc6 2.Nf3,2
39.70%,43.20%,1.e4 Nc6 2.d4 e5 3.d5,3
40.60%,32.10%,1.e4 Nc6 2.d4 e5 3.dxe5 Nxe5 4.Nf3,4
51.70%,30.50%,1.e4 Nc6 2.Nf3 f5 3.exf5,3
40.00%,41.40%,1.e4 Nc6 2.d4 d5 3.e5,3
44.10%,32.40%,1.e4 Nc6 2.d4 d5 3.Nc3,3
39.90%,32.80%,1.Nf3 d5 2.b3,2
52.20%,20.90%,1.d4 Nf6 2.c4 d6 3.Nc3 Bf5 4.g3,4
41.90%,29.80%,1.d4 Nf6 2.c4 d6 3.Nc3 Bf5 4.Nf3,4
34.30%,36.20%,1.d4 Nf6 2.c4 d6 3.Nc3 Bf5 4.f3,4
44.90%,26.00%,1.d4 Nf6 2.c4 d6 3.Nc3 e5 4.Nf3 Nbd7 5.e4,5
46.30%,26.00%,1.d4 Nf6 2.c4 d6 3.Nc3 e5 4.Nf3,4
43.80%,26.20%,1.d4 Nf6 2.c4 d6 3.Nc3 c6 4.Nf3,4
63.90%,20.00%,1.e4 e5 2.Nf3 d6 3.d4 exd4 4.Nxd4,4
68.10%,16.40%,1.e4 e5 2.Nf3 d6 3.d4,3
