001gi,r6r/1pNk1ppp/2np4/b3p3/4P1b1/N1Q5/P4PPP/R3KB1R w KQ - 3 18,c7a8 a5c3,923,131,56,165,bodenMate hangingPiece mate mateIn1 middlegame oneMove,https://lichess.org/1sV2Hr22#35,Sicilian_Defense Sicilian_Defense_Other_variations
001wb,r3k2r/pb1p1ppp/1b4q1/1Q2P3/8/2NP1Pn1/PP4PP/R1B2R1K w kq - 1 17,h2g3 g6h5,1339,222,53,23,mate mateIn1 middlegame oneMove,https://lichess.org/hNzYRMWP#33,Ruy_Lopez Ruy_Lopez_Bird_Variation
002CP,r5k1/pp4pp/4p1q1/4p3/3n4/P5P1/1PP2Q1P/2KR1R2 w - - 4 24,f2e3 g6c2,909,77,69,75,endgame mate mateIn1 oneMove queensideAttack,https://lichess.org/pHZnIFdb#47,
003IX,8/3pk3/R7/1R2Pp1p/2PPnKr1/8/8/8 w - - 4 43,f4f5 e4g3,1668,85,86,768,endgame mate mateIn1 oneMove,https://lichess.org/576Btq56#85,
004iZ,r2r2k1/2q1bpp1/3p1n1p/1ppN4/1P1BP3/P5Q1/4RPPP/R5K1 b - - 1 20,f6d5 g3g7,756,84,98,670,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/dQ85JUe1/black#40,
004zI,2q3k1/4br1p/6RQ/1p1n2p1/7P/1P4P1/1B2PP2/6K1 b - - 0 27,h7g6 h6h8,1308,77,88,164,endgame mate mateIn1 oneMove,https://lichess.org/HE33gdt4/black#54,
008Nz,6k1/2p2ppp/pnp5/B7/2P3PP/1P1bPPR1/r6r/3R2K1 b - - 1 29,d3e2 d1d8,558,108,94,705,backRankMate mate mateIn1 middlegame oneMove,https://lichess.org/HNU4zavC/black#58,
008o6,Q5k1/p1p3p1/5rP1/8/3P4/7P/q3r3/B4RK1 b - - 1 34,f6f8 a8f8,486,87,75,110,endgame mate mateIn1 oneMove,https://lichess.org/1k4lXfEi/black#68,
009L0,6k1/pb2r1pN/1n4Bp/3p4/1P2pR2/P7/3R1PPP/2r3K1 w - - 2 30,d2d1 c1d1,706,146,18,22,backRankMate hangingPiece mate mateIn1 middlegame oneMove,https://lichess.org/SAhQtou2#59,
00B2k,r4rk1/pbp3pp/1p1pp3/6B1/2PPp2q/3nP2P/PP3P2/R2QKBR1 w Q - 8 16,f1d3 h4f2,862,137,43,15,attackingF2F7 mate mateIn1 middlegame oneMove,https://lichess.org/SIYAVKzo#31,Dutch_Defense Dutch_Defense_Queens_Knight_Variation
00Bm8,8/6kp/4b1q1/1p6/1PpPp2Q/2P1P3/r2N2P1/5RK1 w - - 7 34,d2e4 g6g2,1126,76,86,324,endgame master mate mateIn1 oneMove,https://lichess.org/ynNNLRgG#67,
00C7m,8/5k2/1P4R1/6PK/1r6/8/8/8 w - - 1 58,h5h6 b4h4,755,119,67,56,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/ZbuTrTYp#115,
00DPQ,2k4r/pp3pp1/4pn2/2np2p1/8/1B1P1Pq1/PPPN1R2/R2Q3K w - - 6 20,f2h2 g3h2,799,97,84,101,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/AKiNfVd0#39,
00FHX,2r3k1/5p1p/4pP2/3p3P/8/5P2/p1b3P1/2R3K1 b - - 0 30,c2b1 c1c8,448,108,89,557,endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/rztVgThB/black#60,
00G0z,Q4n1k/p2b2pp/3b4/2p5/4pq2/2Pn3P/PP1NBPP1/R1B2RK1 w - - 1 23,d2e4 f4h2,1329,98,57,50,mate mateIn1 middlegame oneMove,https://lichess.org/5yn9tO6O#45,
00GRa,1r3rk1/2p1Nppb/p2nq3/1p2p1Pp/4Qn1P/2P1N3/PPB2P1K/3R2R1 b - - 5 28,e6e7 e4h7,637,94,89,479,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/QiJhfG8J/black#56,
00H1C,r3r3/1kpRnqpp/p4p2/Qp2P2P/1N6/4Pb2/PPP3P1/2K2R2 b - - 0 22,e7c6 a5c7,1407,77,91,368,mate mateIn1 middlegame oneMove,https://lichess.org/GzcjOw0p/black#44,
00H9n,7k/6p1/8/4p3/Pp1b4/1P3b1q/3Q2P1/5RK1 w - - 0 45,d2d4 h3g2,1014,82,93,118,endgame mate mateIn1 oneMove,https://lichess.org/MaGCLflH#89,
00HHN,4r2k/p6p/1p3R2/2p5/2P5/1P4R1/r5PP/2K5 w - - 0 32,f6f7 e8e1,493,83,100,215,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/tMmxk7ja#63,
00HPz,6r1/7p/2pk1p2/P2p4/P2KbP2/4P3/4NR1P/8 w - - 1 35,e2c3 c6c5,813,79,100,313,endgame mate mateIn1 oneMove,https://lichess.org/ElfQqRYp#69,
