01gjE,1Q2n1kr/r4ppp/q7/bbB5/4p3/2P1P3/P3NPPP/RN2K2R w KQ - 8 21,c5a7 a5c7 b8a8 b5c6 a8c6 a6c6,1582,309,100,3,equality long middlegame trappedPiece,https://lichess.org/VupKq5vL#41,
01tcI,2kr1bnr/pppb2pp/2n1p3/3pP3/3P1B2/2P3P1/PP1N1KBq/R2Q2N1 b - - 2 12,f8e7 d2f1 h2h6 f4h6,1472,361,100,3,equality middlegame short trappedPiece,https://lichess.org/ITYDEMNb/black#24,
024uA,3r2k1/p2r1pb1/1pQp1q1p/4p1p1/1PP5/5NB1/P4PPP/R2R2K1 w - - 4 22,f3e5 d6e5 d1d7 f6c6 d7d8 g8h7,1503,500,100,2,capturingDefender defensiveMove discoveredAttack equality long middlegame,https://lichess.org/iAok7RN9#43,
02BlD,r7/PR2n3/2n1pk2/2Pp2p1/1r1P4/3NP3/5P2/R5K1 w - - 1 39,b7e7 f6e7 d3b4 c6b4,1713,275,100,5,endgame equality short,https://lichess.org/PWjWxtmH#77,
02W3n,3rr2k/pp2B1p1/1bpP2qp/5p2/1P2n3/P4N2/2Q2PPP/4RRK1 w - - 4 24,e1e4 f5e4,1120,156,33,32,equality middlegame oneMove,https://lichess.org/ffalREgQ#47,
02bLQ,4r3/pp4pp/3B1n2/5k2/2Q3P1/P7/1P1K3P/n3r3 b - - 0 27,f6g4 c4f4 f5g6 f4g4,1582,500,100,0,deflection endgame equality short,https://lichess.org/zxLwsqNJ/black#54,
02tXM,rnbq1rkb/ppp1pp1n/7P/3p2p1/3P4/2PBPN2/PP3PP1/RN1QK2R b KQ - 4 11,f7f6 d3h7,964,84,100,133,equality kingsideAttack oneMove opening,https://lichess.org/WyNuC84y/black#22,
02z5C,r1b2rk1/3nppb1/p4npB/q2pN1Qp/1p1P3P/2N2P2/PPP1B1P1/R3K2R w KQ - 0 14,e5g6 f7g6 h6g7 g8g7,2014,225,100,7,equality middlegame short,https://lichess.org/6QkQ7PUa#27,
030fP,3kq1Q1/1p6/p2p4/3N4/6b1/8/PP5P/6K1 w - - 5 31,g8g4 e8e1 g1g2 e1d2 g2g3 d2d5,1343,197,100,14,endgame equality fork long,https://lichess.org/a7xA5veb#61,
032ZT,1k1r4/p1p4p/B7/1P1p1P1n/3P4/4nR1P/6P1/6K1 b - - 1 30,e3f5 f3f5,841,148,33,37,endgame equality hangingPiece oneMove,https://lichess.org/lP9sZ8wK/black#60,
037Ld,8/5ppk/p1r1q2p/3R1b2/2P1n3/N2Q1P2/P5PP/6K1 b - - 0 29,e4f6 d3f5 e6f5 d5f5,1706,354,100,2,equality middlegame short,https://lichess.org/zX5KCp4X/black#58,
038JP,5rk1/3R1pp1/4p2p/p3q3/1p2Pn2/4QP2/PP4PP/2R3K1 w - - 2 28,b2b3 e5g5 e3d2 f4e2 d2e2 g5c1,2176,163,100,22,deflection discoveredAttack endgame equality long skewer,https://lichess.org/zfCrg7lc#55,
03BBh,3R1B2/1r3p1p/rpR1pkp1/1p6/8/2P4P/1P3PP1/6K1 w - - 1 34,f8c5 a6a1 g1h2 b6c5,1574,323,-67,7,endgame equality short,https://lichess.org/hyLMInTe#67,
